ActionId,SourceType,MobDescription,LocationDescription,X,Y,Level,Note
11400,dungeon,冬贝利王,神灵圣域放浪神古神殿,,,50,BOSS #3
11400,hunt,玛贝利,拉诺西亚高地,,,50,
11401,dungeon,但他林、幻影骑士,惨剧灵殿塔姆·塔拉墓园,,,50,BOSS #2前小怪
11401,dungeon,巴尔泽芬,腐坏遗迹无限城市街古迹,,,50,BOSS #3前小怪
11401,hunt,永恒不灭的菲兰德副耀士,北萨纳兰,,,50,远离目标时瞬发使用
11402,dungeon,6号哥布林坦克,纷争要地布雷福洛克斯野营地,,,50,BOSS #3
11402,dungeon,魔导炮艇,幻龙残骸密约之塔,,,50,BOSS #2
11402,raid,欧米茄,欧米茄时空狭缝 阿尔法幻境3,,,70,同一副本还有专属技能 94芥末爆弹 101生成外设
11403,map,卢恩人烘鸥手,东拉诺西亚,26,32,32,
11403,map,卢恩人跑獐手,东萨纳兰,24,23,26,
11403,map,卢恩人助猎者,黑衣森林北部林区,22,30,29,
11403,map,卢恩人捣乱者,黑衣森林中央林区,17,20,10,
11403,map,卢恩人食肉者,基拉巴尼亚山区,17.3,17.6,60,
11403,map,卢恩人拍岸手,拉诺西亚低地,19,35,32,
11403,map,卢恩人护甲手,中萨纳兰,16,19,6,
11404,dungeon,数币巨人,毒雾洞窟黄金谷,,,47,BOSS #2，解除限制时也必定学会
11404,fate,复仇者,遗产之地：怨怼的独眼——复仇者,24,34.5,98,必定学会
11404,hunt,布隆特斯,中萨纳兰,,,50,
11404,map,孤眼巨人,遗产之地,25,33,98,必定学会
11405,raid,守护者,欧米茄时空狭缝 西格玛幻境3,,,70,不需要推调查员，更容易招募到人。无读条点名，附带火属性烧伤，长得和白光之鞭差不多，一般压不掉
11405,trail,恩奇都,无限城的死斗,,,50,只对变鸡角色使用
11406,raid,白焰,欧米茄零式时空狭缝 德尔塔幻境3,,,,
11406,special,学习 10 个技能后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,1,
11406,trail,恩奇都,无限城的死斗,,,50,
11407,dungeon,谢尔达莱黄蜂,财宝传说破舰岛,,,50,一定生命值以下
11407,dungeon,圣堂蜂、粪便胡蜂,古代遗迹喀恩埋没圣堂,,,35,BOSS #1前小怪
11407,dungeon,神域胡蜂,空中神域不获岛,,,60,BOSS#1后多只
11407,map,杀手胡蜂,中拉诺西亚,15,15,13,
11408,dungeon,大井爆岩怪,避暑离宫马利卡大井,,,77,BOSS#1后小怪4只，体力低于30%后使用
11408,dungeon,定时爆弹怪,地脉灵灯天狼星灯塔,,,60,BOSS#2前后小怪
11408,dungeon,爆破爆弹怪、烈火弹怪,封锁坑道铜铃铜山,,,17,
11408,dungeon,榴霰弹怪,流沙迷宫樵鸣洞,,,38,BOSS #1前小怪
11408,dungeon,夫人手提灯,名门府邸静语庄园,,,28,BOSS #3召唤的小怪
11408,dungeon,瓦斯弹怪,魔兽领域日影地修炼所,,,20,
11408,dungeon, 终末的起爆,末日暗影亚马乌罗提,,,80,BOSS #2召唤的小怪
11408,dungeon,烈火弹怪、雷汞弹怪,骚乱坑道铜铃铜山,,,50,烈火弹怪为1号boss后3体，雷汞弹怪为1号boSS后1体，HP一定量以下
11408,dungeon,奇坦那回声,文明古迹奇坦那神影洞,,,75,BOSS#2后小怪2只
11408,guildhests,爆弹随从、爆弹杂佣、爆弹准男爵,行会令：讨伐爆弹怪的女王！,,,25,
11408,map,滑行爆弹怪,西萨纳兰,27,16,12,
11408,raid,护卫系统,巴哈姆特大迷宫 真源之章2,,,50,
11409,special,学习 20 个技能后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,1,
11410,dungeon,铜铃夜蟾,骚乱坑道铜铃铜山,,,50,2号boss后2体
11410,map,痴笑巨蟾蜍,西萨纳兰,15,7,24,无读条瞬发使用，赋予自身回避率提高的buff
11411,special,学习 5 个技能后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,1,
11412,dungeon,地底夜蟾蜍,毒雾洞黄金谷,,,47,BOSS #1前两只
11412,dungeon,战舰夜蟾蜍,幻龙残骸密约之塔,,,50,开场1体
11412,dungeon,铜铃夜蟾蜍,骚乱坑道铜铃铜山,,,50,2号boss后2体
11412,dungeon,韧骨夜蟾,山中战线泽梅尔要塞,,,44,1号boss后3体
11412,dungeon,犀蜴饲料,武装圣域放浪神古神殿,,,50,2号boss后打完粘液怪1体
11412,fate,杖蟾蜍,拉诺西亚低地：蛙蛙子,24,22,2,
11412,hunt,咕尔呱洛斯,拉诺西亚低地,,,50,
11412,map,巨蟾蜍,东拉诺西亚,17,27,33,
11412,map,梦蟾蜍,黑衣森林东部林区,26,18,46,
11412,map,山地鬣蜥,珂露西亚岛,24.2,18.3,78,
11412,map,痴笑巨蟾蜍,西萨纳兰,15,7,24,
11412,map,沙蟾蜍,西萨纳兰,23,23,14,
11412,map,毒蟾蜍,中萨纳兰,27,19,14,
11413,dungeon,真红龙虾,逆转要害沙斯塔夏溶洞,,,50,BOSS #1即死效果与比例伤害有效
11413,dungeon,倒影龙虾,漂流海域妖歌海,,,61,BOSS#1前精英怪1只，同步时可以考虑催眠整波怪后单独打醒
11413,map,峭壁巨钳虾,基拉巴尼亚山区,26,8,61,
11413,map,砂砾巨钳虾,夏劳尼荒野,23.82,17.65,96,
11413,raid,巨钳虾,亚历山大机神城 启动之章3,,,60,
11413,treasure,领峭壁巨钳虾,陈旧的瞪羚革地图,,,70,寻宝：陈旧的瞪羚革地图（G10），地表小怪
11414,dungeon,庄园的守卫,名门府邸静语庄园,,,28,BOSS #1门前小怪
11414,raid,诅咒之眼、腐朽之眼,水晶塔 古代人迷宫,,,50,
11415,special,完成 10 种假面狂欢关卡后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,1,
11416,special,完成 20 种假面狂欢关卡后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,1,
11417,special,学习 10 个技能后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,1,
11418,carnivale,启示者,假面狂欢25,,,50,
11418,dungeon,庄园小丑,名门府邸静语庄园,,,50,BOSS #2
11418,jobquest,毕托所信徒,魔法城邦玛哈的阴谋,,,53,学者53级职业任务，需与学者组队学习
11418,map,破坏小魔精,东萨纳兰,14,19,19,
11418,map,捣蛋小鬼,黑衣森林中央林区,27,24,9,
11419,carnivale,阿皮狄马,假面狂欢21,,,50,
11419,carnivale,阿波卡里普斯,假面狂欢25,,,50,
11419,dungeon,完美奇美拉,博物战舰无限回廊,,,60,BOSS #2前精英怪1只，同步时可以考虑催眠整波怪后单独打醒
11419,dungeon,奇美拉,流沙迷宫樵鸣洞,,,38,BOSS #3
11419,dungeon,人工培养奇美拉,血战苍穹魔科学研究所,,,60,BOSS #2前精英怪1只，同步时可以考虑催眠整波怪后单独打醒
11419,fate,强化奇美拉,北萨纳兰：狂暴巨兽——强化奇美拉,,,49,成就危命。即死效果与比例伤害有效。似乎在低体力时更容易咏唱
11419,hunt,戾虫,雷克兰德,,,80,
11419,raid,原型奇美拉,巴哈姆特大迷宫 入侵之章2,,,50,第三波小怪之一。即死效果与比例伤害有效，但冻结、石化、眩晕、睡眠、麻痹等效果无效
11419,raid,古奇美拉,失落之都拉巴纳斯塔,,,70,BOSS #2后精英怪2只
11419,raid,加姆,水晶塔 暗之世界,,,50,生命值低于50%时咏唱，进本见到的前三只怪。即死效果与比例伤害有效。注意只有开怪的小队可以学到
11419,raid,女王爱犬,影之国,,,60,BOSS#4召唤的小怪
11419,trail,死化奇美拉,死化奇美拉讨伐战,,,50,
11419,treasure,神殿奇美拉,运河宝物库神殿,,,70,寻宝：陈旧的瞪羚革地图（G10）
11420,carnivale,阿皮狄马,假面狂欢21,,,50,
11420,carnivale,阿波卡里普斯,假面狂欢25,,,50,
11420,dungeon,完美奇美拉,博物战舰无限回廊,,,60,BOSS #2前精英怪1只，同步时可以考虑催眠整波怪后单独打醒
11420,dungeon,奇美拉,流沙迷宫樵鸣洞,,,38,BOSS #3
11420,dungeon,人工培养奇美拉,血战苍穹魔科学研究所,,,60,BOSS #2前精英怪1只，同步时可以考虑催眠整波怪后单独打醒
11420,fate,强化奇美拉,北萨纳兰：狂暴巨兽——强化奇美拉,,,49,成就危命。即死效果与比例伤害有效。似乎在低体力时更容易咏唱
11420,hunt,戾虫,雷克兰德,,,80,
11420,raid,原型奇美拉,巴哈姆特大迷宫 入侵之章2,,,50,第三波小怪之一。即死效果与比例伤害有效，但冻结、石化、眩晕、睡眠、麻痹等效果无效
11420,raid,古奇美拉,失落之都拉巴纳斯塔,,,70,BOSS #2后精英怪2只
11420,raid,加姆,水晶塔 暗之世界,,,50,生命值低于50%时咏唱，进本见到的前三只怪。即死效果与比例伤害有效。注意只有开怪的小队可以学到
11420,raid,女王爱犬,影之国,,,60,BOSS#4召唤的小怪
11420,trail,奇美拉,死化奇美拉讨伐战,,,50,
11420,treasure,神殿奇美拉,运河宝物库神殿,,,70,寻宝：陈旧的瞪羚革地图（G10）
11421,dungeon,冲浪水蜥、水栖蝾螈,休养胜地布雷福洛克斯野营地,,,32,冲浪水蜥生命值低于50%后咏唱
11421,map,静水泥沼蝾螈,摩杜纳,13,10,45,
11422,dungeon,克拉肯,逆转要害沙斯塔夏溶洞,,,50,BOSS #3
11423,hunt,血腥玛丽,东拉诺西亚,,,50,
11423,map,碧企鹅,东拉诺西亚,27,35,30,
11424,dungeon,库卡龙龟,激战城塞石卫塔,,,50,BOSS #2，即死效果与比例伤害有效
11424,fate,塔拉斯克,龙堡参天高地：坚甲铁龙——塔拉斯克,,,53,成就危命
11425,dungeon,折角骑士 寇黑加,武装圣域放浪神古神殿,,,50,BOSS #1，即死效果与比例伤害有效
11426,trail,迦楼罗、美翼、妙翅,迦楼罗歼殛战,,,50,
11427,dungeon,法厄同,厄尔庇斯育体宝殿,,,90,未确定可习得
11427,dungeon,伊弗利特,伊弗利特讨伐战,,,20,
11427,trail,伊弗利特,伊弗利特歼殛战,,,50,
11427,trail,伊弗利特,伊弗利特歼灭战,,,50,
11428,trail,泰坦,泰坦歼殛战,,,50,
11428,trail,泰坦,泰坦歼灭战,,,50,
11429,raid,拉姆,伊甸希望乐园 共鸣之章1,,,80,确定可习得
11429,trail,拉姆,拉姆歼殛战,,,50,
11429,trail,拉姆,拉姆歼灭战,,,50,
11430,trail,希瓦,希瓦歼殛战,,,50,在PART.2武器切换为弓后，瞬发使用
11431,trail,利维亚桑,利维亚桑歼殛战,,,50,
11431,trail,利维亚桑,利维亚桑歼灭战,,,50,
18295,dungeon,狮身巨鹰,冰雪废堡暮卫塔,,,51,
18295,fate,佩鲁的天敌,奥阔帕恰山：飞天魔厨——佩鲁的天敌,32,21.1,90,
18295,fate,真狮鹫,基拉巴尼亚山区：狮鹫物语,26,29,65,
18295,fate,断颈鹰,基拉巴尼亚山区：行刑人的家人——断颈鹰,26.7,25.5,68,
18295,fate,真狮鹫,基拉巴尼亚山区：自血而生,15,25,65,
18295,hunt,弗克施泰因,基拉巴尼亚山区,11,8.5,70,无读条，未测试是否可学会
18295,map,狮鹫,阿巴拉提亚云海,35,10,59,
18295,map,狮鹫,阿巴拉提亚云海,8.5,7.5,59,
18295,map,真狮鹫,基拉巴尼亚山区,26.1,25.2,68,
18295,raid,翻云狮鹫,魔航船虚无方舟,,,60,
18296,carnivale,水之式神、水龙卷,假面狂欢29,,,60,天青斗场中最难的一关，请慎重考虑
18296,raid,有生命活水,亚历山大机神城 启动之章3,,,60,
18296,raid,有生命活水,亚历山大零式机神城 启动之章3,,,60,
18296,treasure,金库液态灵魂,巡梦金库,,,100,寻宝：陈旧的卡冈图亚革地图（G18），需要测试
18297,dungeon,大脚雪人,凛冽洞天披雪大冰壁,,,50,BOSS#2
18297,fate,巨脚雪人,库尔札斯西部高地：吞噬牦牛的巨人——巨脚雪人,20.4,33.4,51,成就危命
18297,map,大脚板岩雪人,库尔扎斯西部高地,25,32,56,
18297,treasure,运河大脚雪人,运河宝物库深层,,,70,寻宝：深层传送魔纹的地图（深绿）
18298,dungeon,火蛇、狱炎火蛇,红玉火山狱之盖,,,70,BOSS #2前小怪
18298,map,雷牙,阿巴拉提亚云海,26,33,50,
18299,raid,浮士德、新型浮士德,亚历山大机神城 律动之章1,,,60,
18299,raid,风暴人偶、浮士德,亚历山大机神城 启动之章1,,,60,BOSS #1及其召唤的小怪
18299,raid,浮士德,亚历山大机神城 启动之章2,,,60,
18299,raid,终极浮士德,亚历山大机神城 天动之章1,,,60,BOSS #1
18299,raid,惩罚人偶,亚历山大零式机神城 启动之章4,,,60,
18300,dungeon,阿修,恶灵府邸静语庄园,,,50,BOSS #2
18300,dungeon,偷书者,学识宝库迦巴勒幻想图书馆,,,59,最终 BOSS 第三次踩塔（虚无召唤）失败后出现的小怪
18300,levequests,焚书任务：回收禁书《青眼怪物》 上级恶魔,龙堡内陆低地,,,58,疑似在高生命值更容易咏唱，同一理符还有 62蛙腿。从伊修加德基础层接取理符，大规模的也可以
18301,hunt,斯奎克,阿巴拉提亚云海,,,60,
18301,hunt,斯特拉斯,龙堡内陆低地,,,60,
18301,map,猴面雀,阿巴拉提亚云海,21,32,50,
18301,map,棕仙,活着的记忆,37,26,90,
18301,treasure,护领棕仙,陈旧的卡冈图亚革地图,,,100,寻宝：陈旧的卡冈图亚革地图（G18），地表小怪
18301,treasure,神殿斯卡尼特,运河宝物库神殿,,,70,寻宝：陈旧的瞪羚革地图（G10）
18302,dungeon,阿里奥克,腐坏遗迹无限城市街古迹,,,50,BOSS #2
18302,dungeon,恩奇都,无限城的死斗,,,50,会使用但是个扇形AOE
18302,dungeon,人工培养疫虫,血战苍穹魔科学研究所,,,60,BOSS#1后小怪
18302,map,疫虫,魔大陆阿济兹拉,30,12,59,
18303,trail,茸茸之愈 库普洛·奇普,莫古力贤王歼殛战,,,50,若咏唱过程中治疗目标被击杀，咏唱会被打断
18303,trail,茸茸之愈 库普洛·奇普,莫古力贤王歼灭战,,,50,若咏唱过程中治疗目标被击杀，咏唱会被打断
18304,hunt,机工兵 斯利普金克斯,龙堡内陆低地,,,60,
18304,raid,亚历山大伏兵、亚历山大挥刀兵,亚历山大机神城 天动之章2,,,60,
18305,carnivale,艾匹罗基,假面狂欢24,,,50,
18305,dungeon,阿班达,秘本宝库迦巴勒幻想图书馆,,,60,BOSS#3前精英怪。即死效果与比例伤害有效
18305,treasure,神殿阿班达,运河宝物库神殿,,,70,寻宝：陈旧的瞪羚革地图（G10）
18306,dungeon,鹰锋女王,草木庭园圣茉夏娜植物园,,,60,BOSS #2
18307,fate,孤独的贝洛·罗格,龙堡内陆低地：等待者——孤独的贝洛·罗格,11.6,34.4,59,
18307,levequests,焚书任务：回收禁书《青眼怪物》- 离水智蛙,龙堡内陆低地,,,58,需要靠近才会使用，同一理符还有 55深渊贯穿。从伊修加德基础层接取理符，大规模的也可以。
18307,map,智蛙,龙堡内陆低地,12,35,59,需要靠近才会使用
18308,dungeon,祖,领航明灯天狼星灯塔,,,50,BOSS #2
18308,dungeon,草原雄鹰,试炼行路巴儿达木霸道,,,65,
18308,fate,安祖主母,阿巴拉提亚云海：黑色怪鸟,,,47,
18308,fate,徘徊祖,奥阔帕恰山：图拉尔候鸟,,,88,
18308,map,安祖,阿巴拉提亚云海,37,36,59,
18308,raid,方舟安祖,魔航船虚无方舟,,,60,即死效果与比例伤害有效
18309,dungeon,神域长颈驼,空中神域不获岛,,,60,无读条，BOSS#2后多只
18309,fate,涅那乌尼尔,基拉巴尼亚山区：复仇鳏夫——涅那乌尼尔,,,68,
18309,map,长颈驼,阿巴拉提亚云海,19,30,56,
18309,map,长颈骆,基拉巴尼亚山区,26.9,29.7,68,
18309,treasure,运河长颈驼,运河宝物库,,,70,寻宝：陈旧的瞪羚革地图（G10）
18309,treasure,运河长颈驼,运河宝物库深层,,,70,寻宝：深层传送魔纹的地图（深绿）
18310,dungeon,白骑士,圣教中枢伊修加德教皇厅,,,57,BOSS #2前后各有一只
18311,dungeon,黑骑士,圣教中枢伊修加德教皇厅,,,57,BOSS #2前后各有一只
18312,dungeon,64页,学识宝库迦巴勒幻想图书馆,,,59,BOSS #1后小怪，在所有人远离拉断线后更容易咏唱
18313,dungeon,武装重甲,监牢铁臂巴埃萨长城,,,60,BOSS #2
18313,dungeon,多玛武装重甲,解放决战多玛王城,,,67,老三前的精英怪
18313,fate,致命武器,基拉巴尼亚山区：失控的最终兵器——致命武器,,,68,同步摸一下仇恨后解除同步等危命失败也有相同概率学会
18313,hunt,伽马,延夏,,,70,
18314,raid,操纵者,亚历山大机神城 启动之章4,,,60,
18314,raid,操纵者,亚历山大零式机神城 启动之章4,,,60,
18315,dungeon,仙人刺守卫,苏醒遗迹喀恩埋没圣堂,,,50,BOSS#2 召唤的小怪
18316,special,学习 50 个技能后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,1,
18317,special,完成 30 个假面狂欢关卡后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,1,
18318,dungeon,瓦魔蛾,腐坏遗迹无限城市街古迹,,,50,1号boss前3体，第3体较远，同时拉到的其他敌人HP50%以下时使用
18318,map,阿巴拉提亚瓦魔蛾,阿巴拉提亚云海,10,17,57,同时拉住另一只怪并将另一只怪血量削到55%以下，注意不要和附近同模小一些的天窗瓦魔蛾搞混
18319,dungeon,雷雅克魔龙,邪龙王座龙巢神殿,,,55,BOSS #1小怪
18319,map,云上双足飞龙,翻云雾海,25,28,56,
18320,dungeon,腐坏贪吃鬼,腐坏遗迹无限城市街古迹,,,50,BOSS #1
18320,dungeon,泥口花,污染庭园圣茉夏娜植物园,,,70,BOSS#1 同一副本还有专属技能 87污泥泼洒
18320,fate,得酷热涅,夏劳尼荒野：蛇王得酷热涅：荒野的死斗,,,100,成就fate，未确定可习得
18320,hunt,马希沙,基拉巴尼亚湖区,,,70,
18320,hunt,尤兰,萨维奈岛,,,90,未确定可习得
18320,raid,大王花,巴哈姆特大迷宫 入侵之章1,,,50,最终BOSS
18320,raid,神杖巨蛇,巴哈姆特大迷宫 邂逅之章1,,,50,最终BOSS。场地闪烁蓝光时，里面有人会产生暗物质粘液怪，神杖巨蛇与暗物质粘液怪接触后发动。
18320,raid,刻耳柏洛斯,水晶塔 暗之世界,,,50,
18321,carnivale,斗场抄写员,假面狂欢24,,,50,
18321,dungeon,自走人偶抄写员,秘本宝库迦巴勒幻想图书馆,,,60,BOSS#2后小怪
18322,dungeon,腐化物,地脉灵灯天狼星灯塔,,,60,BOSS#1召唤的小怪，无法从此前同名小怪处习得
18323,trail,罗波那,罗波那歼殛战,,,60,
18323,trail,罗波那,罗波那歼灭战,,,53,
18324,trail,索菲娅,索菲娅歼殛战,,,60,
18324,trail,索菲娅,索菲娅歼灭战,,,60,
18325,raid,残暴正义号,亚历山大机神城 律动之章4,,,60,最终阶段上天运动会时瞬发使用。同一副本还有专属技能 41精神冲击
18325,raid,残暴正义号,亚历山大零式机神城 律动之章4,,,60,最终阶段上天运动会时瞬发使用。同一副本还有专属技能 41精神冲击
23264,hunt,闪雷击 鱼雷,延夏,,,70,
23264,map,惠比寿鲶鱼精,延夏,28,8,67,
23265,hunt,闪雷击 鱼雷,延夏,,,70,
23265,map,惠比寿鲶鱼精,延夏,28,8,67,
23266,dungeon,道顺丸,恶党孤城黄金阁,,,70,BOSS #2
23267,dungeon,雾龙,死亡大地终末焦土,,,70,BOSS #3，需故意留下三龙头之一或更多，否则咏唱会被打断，推荐携带73蜕皮来驱散冻伤，降低翻车率
23269,trail,吉祥天女,吉祥天女歼殛战,,,70,
23269,trail,吉祥天女,吉祥天女歼灭战,,,67,
23270,raid,魔列车,欧米茄零式时空狭缝 西格玛幻境1,,,70,
23270,raid,魔列车,欧米茄时空狭缝 西格玛幻境1,,,70,
23271,dungeon,枯腐泥妖,污染庭园圣茉夏娜植物园,,,70,BOSS #3，同一副本还有专属技能 75捕食
23271,hunt,泥人,伊尔美格,,,80,
23272,special,达到 70 级后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,70,
23273,dungeon,玄武,红玉火山狱之盖,,,70,BOSS #3
23275,dungeon,双豹伊沃恩,修行古刹星导寺,,,70,BOSS #3
23276,dungeon,凶豹所闻，凶豹所忆,修行古刹星导寺,,,70,BOSS #1，在另一方被击杀后使用
23276,map,高阶长须豹,拉诺西亚高地,9,21.5,24,
23277,hunt,蛇仆蚂蜓,基拉巴尼亚山区,,,70,
23277,map,恐甲蚂蜓,基拉巴尼亚山区,11,26,68,疑似高血量更容易施放
23277,treasure,运河恐甲蚂蜓,运河宝物库,,,70,寻宝：陈旧的瞪羚革地图（G10）
